[med_do] START | arch=doubleo dim=128 layers=4 tasks=4 params=806,784 clamp=2.0 norm=rmsnorm
[med_do] pretrain 0/2000 losses=['4.077', '4.025', '4.133', '4.166'] elapsed=4s eta=0s
[med_do] pretrain 100/2000 losses=['2.663', '3.045', '2.583', '3.068'] elapsed=27s eta=508s
[med_do] pretrain 200/2000 losses=['2.612', '3.044', '2.532', '2.842'] elapsed=47s eta=425s
[med_do] pretrain 300/2000 losses=['2.596', '3.029', '2.513', '2.830'] elapsed=68s eta=384s
[med_do] pretrain 400/2000 losses=['2.591', '3.019', '2.416', '2.817'] elapsed=89s eta=355s
[med_do] pretrain 500/2000 losses=['2.582', '2.993', '1.972', '2.787'] elapsed=110s eta=329s
[med_do] pretrain 600/2000 losses=['2.536', '2.859', '1.617', '2.460'] elapsed=130s eta=303s
[med_do] pretrain 700/2000 losses=['2.362', '2.791', '1.292', '2.341'] elapsed=153s eta=283s
[med_do] pretrain 800/2000 losses=['2.306', '2.671', '1.056', '2.261'] elapsed=175s eta=262s
[med_do] pretrain 900/2000 losses=['2.286', '2.568', '0.903', '2.205'] elapsed=199s eta=243s
[med_do] pretrain 1000/2000 losses=['2.249', '2.446', '0.803', '2.138'] elapsed=224s eta=224s
[med_do] pretrain 1100/2000 losses=['2.202', '2.346', '0.737', '2.073'] elapsed=246s eta=201s
[med_do] pretrain 1200/2000 losses=['2.184', '2.279', '0.717', '2.022'] elapsed=269s eta=179s
[med_do] pretrain 1300/2000 losses=['2.146', '2.130', '0.691', '1.969'] elapsed=291s eta=157s
[med_do] pretrain 1400/2000 losses=['2.092', '2.044', '0.659', '1.912'] elapsed=313s eta=134s
[med_do] pretrain 1500/2000 losses=['2.054', '1.901', '0.633', '1.844'] elapsed=335s eta=111s
[med_do] pretrain 1600/2000 losses=['1.989', '1.800', '0.624', '1.815'] elapsed=356s eta=89s
[med_do] pretrain 1700/2000 losses=['1.929', '1.720', '0.614', '1.773'] elapsed=377s eta=66s
[med_do] pretrain 1800/2000 losses=['1.875', '1.614', '0.608', '1.743'] elapsed=398s eta=44s
[med_do] pretrain 1900/2000 losses=['1.827', '1.511', '0.603', '1.715'] elapsed=420s eta=22s
[med_do] pretrain DONE in 441s final=['1.7887', '1.3726', '0.5941', '1.6918']
[med_do] Math 0/1500 losses=['1.778', '1.398', '0.594', '1.695'] elapsed=5s eta=0s
[med_do] Math 100/1500 losses=['2.454', '3.201', '0.625', '6.776'] elapsed=27s eta=373s
[med_do] Math 200/1500 losses=['2.418', '3.259', '0.630', '6.913'] elapsed=47s eta=305s
[med_do] Math 300/1500 losses=['2.404', '3.517', '0.643', '6.995'] elapsed=68s eta=273s
[med_do] Math 400/1500 losses=['2.408', '3.512', '0.648', '7.144'] elapsed=89s eta=245s
[med_do] Math 500/1500 losses=['2.410', '3.871', '0.665', '7.108'] elapsed=110s eta=219s
[med_do] Math 600/1500 losses=['2.389', '3.984', '0.667', '7.149'] elapsed=131s eta=197s
[med_do] Math 700/1500 losses=['2.425', '3.802', '0.677', '7.240'] elapsed=152s eta=173s
[med_do] Math 800/1500 losses=['2.468', '4.153', '0.688', '7.269'] elapsed=173s eta=151s
[med_do] Math 900/1500 losses=['2.603', '4.697', '0.707', '7.289'] elapsed=195s eta=130s
[med_do] Math 1000/1500 losses=['2.636', '4.977', '0.726', '7.439'] elapsed=216s eta=108s
[med_do] Math 1100/1500 losses=['2.640', '5.239', '0.739', '7.313'] elapsed=237s eta=86s
[med_do] Math 1200/1500 losses=['2.642', '5.313', '0.760', '7.412'] elapsed=258s eta=64s
[med_do] Math 1300/1500 losses=['2.634', '5.497', '0.777', '7.552'] elapsed=280s eta=43s
[med_do] Math 1400/1500 losses=['2.603', '5.556', '0.806', '7.630'] elapsed=300s eta=21s
[med_do] Math DONE in 321s final=['2.6285', '5.8102', '0.8313', '7.6396']
[med_do] Code 0/1500 losses=['2.601', '4.859', '0.830', '7.625'] elapsed=5s eta=0s
[med_do] Code 100/1500 losses=['2.388', '3.542', '0.819', '5.137'] elapsed=24s eta=333s
[med_do] Code 200/1500 losses=['2.346', '3.629', '0.811', '5.601'] elapsed=45s eta=290s
[med_do] Code 300/1500 losses=['2.358', '3.665', '0.829', '5.858'] elapsed=65s eta=260s
[med_do] Code 400/1500 losses=['2.374', '3.702', '0.856', '5.800'] elapsed=86s eta=235s
[med_do] Code 500/1500 losses=['2.375', '3.664', '0.904', '5.891'] elapsed=107s eta=213s
[med_do] Code 600/1500 losses=['2.377', '3.645', '0.939', '5.980'] elapsed=127s eta=191s
[med_do] Code 700/1500 losses=['2.407', '3.613', '0.998', '5.984'] elapsed=148s eta=169s
[med_do] Code 800/1500 losses=['2.441', '3.656', '1.012', '6.021'] elapsed=169s eta=148s
[med_do] Code 900/1500 losses=['2.450', '3.666', '1.023', '6.020'] elapsed=189s eta=126s
[med_do] Code 1000/1500 losses=['2.471', '3.625', '1.091', '6.094'] elapsed=210s eta=104s
[med_do] Code 1100/1500 losses=['2.463', '3.666', '1.123', '6.202'] elapsed=232s eta=84s
[med_do] Code 1200/1500 losses=['2.470', '3.655', '1.146', '6.084'] elapsed=252s eta=63s
[med_do] Code 1300/1500 losses=['2.464', '3.660', '1.166', '6.151'] elapsed=273s eta=42s
[med_do] Code 1400/1500 losses=['2.453', '3.673', '1.240', '6.201'] elapsed=296s eta=21s
[med_do] Code DONE in 316s final=['2.4632', '3.7628', '1.2698', '6.1782']
[med_do] Logic 0/1500 losses=['2.463', '3.732', '0.994', '6.139'] elapsed=5s eta=0s
[med_do] Logic 100/1500 losses=['2.457', '4.036', '1.343', '6.180'] elapsed=26s eta=355s
[med_do] Logic 200/1500 losses=['2.471', '4.122', '1.381', '6.254'] elapsed=47s eta=306s
[med_do] Logic 300/1500 losses=['2.470', '4.097', '1.367', '6.299'] elapsed=68s eta=270s
[med_do] Logic 400/1500 losses=['2.482', '4.112', '1.390', '6.706'] elapsed=89s eta=244s
