[med_do_3task] START | arch=doubleo dim=128 layers=4 tasks=3 params=806,784 clamp=2.0 norm=rmsnorm
[med_do_3task] pretrain 0/2000 losses=['4.074', '4.226', '4.151'] elapsed=4s eta=0s
[med_do_3task] pretrain 100/2000 losses=['2.642', '3.038', '2.569'] elapsed=24s eta=447s
[med_do_3task] pretrain 200/2000 losses=['2.603', '3.021', '2.515'] elapsed=43s eta=386s
[med_do_3task] pretrain 300/2000 losses=['2.587', '3.029', '2.180'] elapsed=63s eta=355s
[med_do_3task] pretrain 400/2000 losses=['2.563', '2.920', '1.636'] elapsed=82s eta=326s
[med_do_3task] pretrain 500/2000 losses=['2.448', '2.679', '1.126'] elapsed=101s eta=302s
[med_do_3task] pretrain 600/2000 losses=['2.321', '2.525', '0.866'] elapsed=121s eta=281s
[med_do_3task] pretrain 700/2000 losses=['2.241', '2.351', '0.774'] elapsed=140s eta=260s
[med_do_3task] pretrain 800/2000 losses=['2.188', '2.163', '0.709'] elapsed=159s eta=238s
[med_do_3task] pretrain 900/2000 losses=['2.134', '2.026', '0.667'] elapsed=179s eta=219s
[med_do_3task] pretrain 1000/2000 losses=['2.092', '1.911', '0.635'] elapsed=198s eta=198s
[med_do_3task] pretrain 1100/2000 losses=['2.008', '1.785', '0.622'] elapsed=217s eta=177s
[med_do_3task] pretrain 1200/2000 losses=['1.928', '1.662', '0.609'] elapsed=238s eta=158s
[med_do_3task] pretrain 1300/2000 losses=['1.885', '1.517', '0.605'] elapsed=258s eta=138s
[med_do_3task] pretrain 1400/2000 losses=['1.830', '1.399', '0.605'] elapsed=277s eta=118s
[med_do_3task] pretrain 1500/2000 losses=['1.792', '1.333', '0.590'] elapsed=297s eta=99s
[med_do_3task] pretrain 1600/2000 losses=['1.738', '1.128', '0.589'] elapsed=316s eta=79s
[med_do_3task] pretrain 1700/2000 losses=['1.692', '1.050', '0.575'] elapsed=336s eta=59s
[med_do_3task] pretrain 1800/2000 losses=['1.650', '0.931', '0.566'] elapsed=354s eta=39s
[med_do_3task] pretrain 1900/2000 losses=['1.619', '0.842', '0.558'] elapsed=373s eta=19s
[med_do_3task] pretrain DONE in 392s final=['1.5931', '0.7437', '0.5324']
[med_do_3task] Math 0/1500 losses=['1.600', '0.764', '0.531'] elapsed=3s eta=0s
[med_do_3task] Math 100/1500 losses=['1.763', '0.857', '6.273'] elapsed=23s eta=315s
[med_do_3task] Math 200/1500 losses=['1.803', '0.934', '6.450'] elapsed=41s eta=268s
[med_do_3task] Math 300/1500 losses=['1.834', '1.024', '6.878'] elapsed=60s eta=239s
[med_do_3task] Math 400/1500 losses=['1.834', '1.171', '7.232'] elapsed=79s eta=216s
[med_do_3task] Math 500/1500 losses=['1.842', '1.266', '7.571'] elapsed=97s eta=193s
[med_do_3task] Math 600/1500 losses=['1.848', '1.351', '7.874'] elapsed=115s eta=172s
[med_do_3task] Math 700/1500 losses=['1.877', '1.463', '8.063'] elapsed=134s eta=153s
[med_do_3task] Math 800/1500 losses=['1.908', '1.602', '8.222'] elapsed=153s eta=133s
[med_do_3task] Math 900/1500 losses=['1.911', '1.657', '8.254'] elapsed=171s eta=114s
[med_do_3task] Math 1000/1500 losses=['1.925', '1.726', '8.442'] elapsed=190s eta=95s
[med_do_3task] Math 1100/1500 losses=['1.939', '1.781', '8.402'] elapsed=209s eta=76s
[med_do_3task] Math 1200/1500 losses=['1.930', '1.874', '8.513'] elapsed=227s eta=56s
[med_do_3task] Math 1300/1500 losses=['1.981', '1.948', '8.571'] elapsed=245s eta=37s
[med_do_3task] Math 1400/1500 losses=['2.001', '2.011', '8.514'] elapsed=265s eta=19s
[med_do_3task] Math DONE in 284s final=['2.0016', '2.1023', '8.6856']
[med_do_3task] Code 0/1500 losses=['2.012', '1.917', '8.680'] elapsed=4s eta=0s
[med_do_3task] Code 100/1500 losses=['2.171', '2.195', '5.235'] elapsed=23s eta=317s
[med_do_3task] Code 200/1500 losses=['2.279', '2.291', '6.072'] elapsed=43s eta=279s
[med_do_3task] Code 300/1500 losses=['2.249', '2.340', '6.645'] elapsed=62s eta=246s
[med_do_3task] Code 400/1500 losses=['2.251', '2.338', '6.838'] elapsed=80s eta=220s
[med_do_3task] Code 500/1500 losses=['2.234', '2.450', '7.096'] elapsed=100s eta=198s
[med_do_3task] Code 600/1500 losses=['2.242', '2.460', '7.260'] elapsed=118s eta=177s
[med_do_3task] Code 700/1500 losses=['2.233', '2.653', '7.215'] elapsed=137s eta=156s
[med_do_3task] Code 800/1500 losses=['2.211', '2.619', '7.392'] elapsed=157s eta=137s
[med_do_3task] Code 900/1500 losses=['2.212', '2.649', '7.598'] elapsed=175s eta=117s
[med_do_3task] Code 1000/1500 losses=['2.222', '2.803', '7.642'] elapsed=194s eta=97s
[med_do_3task] Code 1100/1500 losses=['2.209', '2.825', '8.048'] elapsed=213s eta=77s
[med_do_3task] Code 1200/1500 losses=['2.219', '2.898', '7.727'] elapsed=232s eta=58s
[med_do_3task] Code 1300/1500 losses=['2.255', '2.891', '7.887'] elapsed=251s eta=38s
[med_do_3task] Code 1400/1500 losses=['2.254', '2.980', '8.012'] elapsed=271s eta=19s
[med_do_3task] Code DONE in 290s final=['2.2301', '3.0605', '7.9519']
[med_do_3task] Logic 0/1500 losses=['2.242', '3.032', '7.423'] elapsed=4s eta=0s
[med_do_3task] Logic 100/1500 losses=['2.265', '3.354', '0.209'] elapsed=23s eta=319s
[med_do_3task] Logic 200/1500 losses=['2.306', '3.378', '0.183'] elapsed=43s eta=279s
[med_do_3task] Logic 300/1500 losses=['2.279', '3.411', '0.177'] elapsed=63s eta=249s
[med_do_3task] Logic 400/1500 losses=['2.265', '3.431', '0.174'] elapsed=80s eta=219s
[med_do_3task] Logic 500/1500 losses=['2.275', '3.478', '0.173'] elapsed=97s eta=194s
[med_do_3task] Logic 600/1500 losses=['2.268', '3.480', '0.173'] elapsed=115s eta=172s
[med_do_3task] Logic 700/1500 losses=['2.307', '3.423', '0.175'] elapsed=132s eta=151s
[med_do_3task] Logic 800/1500 losses=['2.311', '3.528', '0.171'] elapsed=150s eta=131s
[med_do_3task] Logic 900/1500 losses=['2.301', '3.464', '0.169'] elapsed=169s eta=112s
[med_do_3task] Logic 1000/1500 losses=['2.311', '3.519', '0.168'] elapsed=186s eta=93s
[med_do_3task] Logic 1100/1500 losses=['2.323', '3.576', '0.169'] elapsed=204s eta=74s
[med_do_3task] Logic 1200/1500 losses=['2.329', '3.562', '0.168'] elapsed=222s eta=55s
[med_do_3task] Logic 1300/1500 losses=['2.360', '3.611', '0.167'] elapsed=240s eta=37s
[med_do_3task] Logic 1400/1500 losses=['2.339', '3.592', '0.163'] elapsed=257s eta=18s
[med_do_3task] Logic DONE in 275s final=['2.3661', '3.6542', '0.1621']
[med_do_3task] FINISHED in 1242s (20.7min)
[med_do_3task] Saved results to /home/ubuntu/DoubleO/scripts/../data/sweep/med_do_3task.json
